duration,timestamp
28800000,2018-09-01T23:00:00.000-07:00
28800000,2018-09-02T23:00:00.000-07:00
28800000,2018-09-03T23:00:00.000-07:00
28800000,2018-09-04T23:00:00.000-07:00
28800000,2018-09-05T23:00:00.000-07:00
28800000,2018-09-06T23:00:00.000-07:00
28800000,2018-09-07T23:00:00.000-07:00
28800000,2018-09-08T23:00:00.000-07:00
28800000,2018-09-09T23:00:00.000-07:00
28800000,2018-09-10T23:00:00.000-07:00
28800000,2018-09-11T23:00:00.000-07:00
28800000,2018-09-12T23:00:00.000-07:00
28800000,2018-09-13T23:00:00.000-07:00
28800000,2018-09-14T23:00:00.000-07:00
28800000,2018-09-15T23:00:00.000-07:00
